socks4://213.197.136.218:5678,LT,Vilnius
https://93.115.26.111:443,LT,Unknown
https://195.182.74.91:42443,LT,Trakai
https://195.182.74.92:42443,LT,Trakai
socks5://185.193.25.181:9050,LT,Unknown
socks5://78.63.115.20:8899,LT,Vilnius
socks5://185.193.25.206:9050,LT,Unknown
socks5://185.193.26.120:9050,LT,Unknown
http://88.119.139.237:53281,LT,Klaipėda
http://86.38.154.24:5667,LT,Vilnius
http://89.116.78.223:5834,LT,Unknown
http://86.38.236.164:6448,LT,Unknown
http://86.38.236.44:6328,LT,Unknown
http://84.46.204.123:6426,LT,Unknown
http://213.197.136.218:5678,LT,Vilnius
http://78.63.115.20:8899,LT,Vilnius
